Symptom,weight
comichão,1
erupção_cutânea,3
erupções_cutâneas_nodulares,4
espirros_contínuos,4
tremores,5
arrepios,3
dor_nas_articulações,3
dor_de_estômago,5
acidez,3
úlceras_na_língua,4
atrofia_muscular,3
vómitos,5
micção_ardente,6
perdas_urinárias,6
fadiga,4
aumento_de_peso,3
ansiedade,4
mãos_e_pés_frios,5
alterações_de_humor,3
perda_de_peso,3
agitação,5
letargia,2
manchas_na_garganta,6
nível_de_açúcar_irregular,5
tosse,4
febre_alta,7
olhos_encovados,3
falta_de_ar,4
sudorese,3
desidratação,4
indigestão,5
dor_de_cabeça,3
pele_amarelada,3
urina_escura,4
náuseas,5
perda_de_apetite,4
dor_atrás_dos_olhos,4
dor_nas_costas,3
obstipação,4
dor_abdominal,4
diarreia,6
febre_ligeira,5
urina_amarela,4
amarelecimento_dos_olhos,4
insuficiência_hepática_aguda,6
sobrecarga_de_fluidos,6
inchaço_do_estômago,7
gânglios_linfáticos_inchados,6
mal_estar,6
visão_turva_e_distorcida,5
fleuma,5
irritação_da_garganta,4
vermelhidão_dos_olhos,5
pressão_sinusal,4
nariz_a_pingar,5
congestão,5
dor_no_peito,7
fraqueza_nos_membros,7
frequência_cardíaca_elevada,5
dor_durante_a_defecação,5
dor_na_região_anal,6
fezes_com_sangue,5
irritação_no_ânus,6
dor_no_pescoço,5
tonturas,4
cãibras,4
equimoses,4
obesidade,4
pernas_inchadas,5
vasos_sanguíneos_dilatados,5
rosto_e_olhos_inchados,5
tiróide_aumentada,6
unhas_frágeis,5
extremidades_inchadas,5
fome_excessiva,4
contactos_extraconjugais,5
lábios_secos_e_com_formigueiro,4
discurso_arrastado,4
dor_no_joelho,3
dor_na_articulação_da_anca,2
fraqueza_muscular,2
rigidez_cervical,4
inchaço_das_articulações,5
rigidez_de_movimentos,5
movimentos_de_rotação,6
perda_de_equilíbrio,4
instabilidade,4
fraqueza_num_lado_do_corpo,4
perda_de_olfato,3
desconforto_na_bexiga,4
odor_fétido_na_urina,5
sensação_contínua_de_urinar,6
passagem_de_gases,5
comichão_interna,4
aspeto_tóxico_(tifo),5
depressão,3
irritabilidade,2
dor_muscular,2
alteração_do_sensório,2
manchas_vermelhas_pelo_corpo,3
dor_na_barriga,4
menstruação_anormal,6
manchas_discrómicas,6
lacrimejo,4
apetite_aumentado,5
poliúria,4
historial_familiar,5
expetoração_mucoide,4
expetoração_ferruginosa,4
falta_de_concentração,3
perturbações_visuais,3
receção_de_transfusão_de_sangue,5
receção_de_injeções_não_esterilizadas,2
coma,7
hemorragia_gástrica,6
distensão_abdominal,4
historial_de_consumo_de_álcool,5
sobrecarga_de_fluidos,4
sangue_na_expetoração,5
veias_proeminentes_na_barriga_da_perna,6
palpitações,4
dor_ao_caminhar,2
borbulhas_com_pus,2
pontos_negros,2
descamação,2
descamação_da_pele,3
aspeto_prateado_na_pele,2
pequenas_depressões_nas_unhas,2
unhas_inflamadas,2
bolha,4
ferida_vermelha_à_volta_do_nariz,2
crostas_amarelas_com_exsudado,3
prognóstico,5
